,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
364,Tiarei,-17.53,-149.33,73.4,83,20,2.24,PF,1596287773
365,Cortez,37.35,-108.59,64.99,67,1,3.36,US,1596287773
366,Bafoulabé,13.81,-10.83,88.02,65,97,6.46,ML,1596287773
367,Arona,28.1,-16.68,82.99,65,20,20.8,ES,1596287773
368,Morąg,53.92,19.93,73.0,48,0,5.01,PL,1596287774
369,Thaba-Tseka,-29.52,28.61,61.41,23,0,2.21,LS,1596287774
370,Bathsheba,13.22,-59.52,87.8,70,40,11.41,BB,1596287774
371,Sitka,57.05,-135.33,60.8,82,90,10.29,US,1596287774
372,Zhuanghe,39.7,122.99,79.0,79,37,6.73,CN,1596287774
373,Zonguldak,41.25,31.83,82.4,65,75,12.75,TR,1596287775
374,Evensk,61.95,159.23,54.01,59,0,11.61,RU,1596287775
375,Acapulco de Juárez,16.86,-99.89,77.0,78,75,3.36,MX,1596287482
376,Ubari,26.59,12.78,104.11,12,0,6.04,LY,1596287775
377,Garissa,-0.45,39.64,90.68,36,5,26.73,KE,1596287775
378,Kununurra,-15.77,128.73,62.6,23,1,2.24,AU,1596287775
379,Amahai,-3.33,128.92,80.01,96,84,3.0,ID,1596287776
380,Los Llanos de Aridane,28.66,-17.92,77.0,69,40,10.29,ES,1596287776
381,Yazykovo,55.22,56.14,68.61,85,100,5.66,RU,1596287776
382,Banda Aceh,5.56,95.32,81.66,73,99,15.01,ID,1596287776
383,Būndu,23.18,85.58,84.2,79,75,4.7,IN,1596287776
384,Luena,-11.78,19.92,78.8,47,0,8.05,AO,1596287776
385,Longyearbyen,78.22,15.64,51.8,76,20,3.36,SJ,1596287777
386,Tigil',57.8,158.67,45.88,93,0,4.59,RU,1596287777
387,Zhurivka,50.5,31.78,69.8,56,20,13.42,UA,1596287777
388,Ribeira Grande,38.52,-28.7,75.2,64,40,5.82,PT,1596287777
389,Hirara,24.8,125.28,85.03,77,2,18.32,JP,1596287777
390,Bambous Virieux,-20.34,57.76,75.2,69,40,10.29,MU,1596287778
391,Kungurtug,50.6,97.52,51.48,76,100,3.78,RU,1596287778
392,Ormara,25.21,64.64,85.95,81,5,11.88,PK,1596287778
393,Pervomayskoye,43.92,46.71,90.75,32,0,17.96,RU,1596287778
394,Ngama,11.78,17.17,91.13,48,90,5.5,TD,1596287778
395,Calama,-22.47,-68.93,53.6,9,0,23.04,CL,1596287582
396,Natal,-5.79,-35.21,80.6,78,75,16.11,BR,1596287585
397,Vila do Maio,15.13,-23.22,84.2,66,20,14.99,CV,1596287764
398,Havøysund,71.0,24.66,50.0,87,75,6.93,NO,1596287779
399,Ulladulla,-35.35,150.47,53.6,66,0,12.75,AU,1596287779
400,Pangnirtung,66.15,-65.71,48.18,80,100,3.36,CA,1596287779
401,Berlevåg,70.86,29.09,49.75,86,99,8.88,NO,1596287779
402,Itoman,26.12,127.67,86.0,79,40,9.17,JP,1596287779
403,Beisfjord,68.38,17.6,66.2,68,20,11.41,NO,1596287779
404,Muzhi,65.37,64.67,64.67,76,100,4.41,RU,1596287780
405,Rokiškis,55.97,25.58,68.59,52,3,9.57,LT,1596287780
406,Sept-Îles,50.2,-66.38,66.2,88,20,2.24,CA,1596287780
407,Morro Bay,35.37,-120.85,63.0,88,6,3.0,US,1596287780
408,Manavālakurichi,8.13,77.3,82.4,83,40,4.7,IN,1596287780
409,Lhokseumawe,5.18,97.15,81.07,75,99,4.05,ID,1596287780
410,Samarai,-10.62,150.67,75.94,71,17,12.86,PG,1596287781
411,Hongjiang,27.11,110.0,81.09,77,8,3.4,CN,1596287781
412,Ron,15.67,75.73,78.82,75,74,17.78,IN,1596287781
413,Matara,5.95,80.54,80.26,82,27,10.49,LK,1596287781
414,Sobolevo,54.43,31.9,56.1,85,94,14.88,RU,1596287782
415,Kiunga,-6.12,141.29,72.46,87,100,3.13,PG,1596287782
416,Temir,49.14,57.13,92.59,16,50,7.74,KZ,1596287782
417,Konibodom,40.28,70.44,87.8,23,40,11.18,TJ,1596287782
418,Maniitsoq,65.42,-52.9,45.28,95,100,18.23,GL,1596287783
419,Château-Thierry,49.05,3.4,82.99,56,98,8.01,FR,1596287783
420,Valentín Gómez Farías,28.22,-106.58,68.59,71,0,3.56,MX,1596287783
421,Tual,-5.67,132.75,78.01,79,100,22.93,ID,1596287783
422,Port Hawkesbury,45.62,-61.35,73.0,83,40,8.05,CA,1596287783
423,Aykhal,66.0,111.5,66.2,39,0,6.71,RU,1596287783
424,Brae,60.4,-1.35,57.2,87,20,9.17,GB,1596287784
425,Daru,-9.08,143.21,74.19,76,59,11.97,PG,1596287784
426,Ruswil,47.08,8.13,84.2,48,80,3.36,CH,1596287784
427,Grand Gaube,-20.01,57.66,73.99,69,2,8.99,MU,1596287784
428,Dukat,62.55,155.55,41.65,84,0,4.36,RU,1596287784
429,Kabalo,-6.05,26.92,97.27,23,69,6.69,CD,1596287784
430,Dourbali,11.81,15.86,92.68,45,100,7.18,TD,1596287784
431,Hamilton,39.18,-84.53,75.0,94,90,4.7,US,1596287785
432,Catalão,-18.17,-47.95,71.02,56,0,14.09,BR,1596287785
433,Caxito,-8.58,13.66,91.44,33,2,6.87,AO,1596287785
434,Ilo,-17.64,-71.34,60.8,77,90,0.36,PE,1596287785
435,Basqal,40.76,48.39,87.8,40,40,9.17,AZ,1596287785
436,Saint Anthony,45.02,-93.22,71.01,73,1,3.13,US,1596287785
437,Derzhavīnsk,51.1,66.32,88.99,21,0,6.51,KZ,1596287786
438,Mount Gambier,-37.83,140.77,51.8,81,90,10.29,AU,1596287786
439,Cleethorpes,53.56,-0.03,73.4,56,61,8.05,GB,1596287786
440,Vila Franca do Campo,37.72,-25.43,73.4,64,20,6.93,PT,1596287786
441,Oodweyne,9.41,45.06,79.21,47,89,27.58,SO,1596287786
442,Malakal,9.53,31.66,80.8,77,86,2.26,SS,1596287786
443,Buluang,13.31,123.34,78.13,84,100,1.83,PH,1596287786
444,Itarema,-2.92,-39.92,85.26,51,98,14.54,BR,1596287787
445,Viedma,-40.81,-63.0,51.01,63,100,7.0,AR,1596287787
446,Majenang,-7.3,108.76,74.07,87,77,4.0,ID,1596287787
447,Dalby,-27.18,151.27,48.0,91,0,2.35,AU,1596287787
448,Turan,16.07,108.22,84.2,83,40,1.12,VN,1596287787
449,Petauke,-14.24,31.33,73.51,27,25,10.87,ZM,1596287787
450,Alofi,-19.06,-169.92,59.0,93,2,3.36,NU,1596287788
451,Unity,52.45,-109.17,57.0,91,0,4.0,CA,1596287788
452,Dingle,11.0,122.67,77.97,84,100,0.36,PH,1596287788
453,Bukachacha,52.98,116.92,61.97,91,100,5.3,RU,1596287788
454,Kars,40.6,43.09,68.0,68,75,13.87,TR,1596287730
455,Beloha,-25.17,45.05,69.69,52,0,14.65,MG,1596287788
456,Fene,43.45,-8.15,71.6,68,20,9.17,ES,1596287788
457,Noril'sk,69.35,88.2,66.2,59,83,8.95,RU,1596287789
458,Mildura,-34.2,142.15,48.2,61,100,4.7,AU,1596287789
459,Svay Rieng,11.09,105.8,79.12,85,100,10.38,KH,1596287789
460,Hualmay,-11.1,-77.61,60.44,82,77,6.73,PE,1596287789
461,São José da Coroa Grande,-8.9,-35.15,78.46,77,22,13.47,BR,1596287789
462,Adrar,20.5,-10.07,104.74,19,0,16.26,MR,1596287789
463,Okhotsk,59.38,143.3,53.35,75,7,2.51,RU,1596287789
464,Atambua,-9.11,124.89,67.48,86,4,5.46,ID,1596287790
465,Mahanoro,-19.9,48.8,72.43,65,5,9.42,MG,1596287790
466,Lábrea,-7.26,-64.8,81.48,48,1,2.93,BR,1596287790
467,Juneau,58.3,-134.42,62.01,93,90,3.94,US,1596287621
468,Loralai,30.37,68.6,91.53,28,24,19.13,PK,1596287790
469,Tongliao,43.61,122.27,81.75,65,79,15.86,CN,1596287790
470,Srednebelaya,50.66,128.01,68.0,100,20,4.47,RU,1596287791
471,Todos Santos,23.45,-110.22,75.99,80,36,3.09,MX,1596287791
472,Olafsvik,64.89,-23.71,53.33,82,61,6.04,IS,1596287791
473,Shimoda,34.67,138.95,71.01,89,97,7.54,JP,1596287791
474,Purranque,-40.92,-73.17,46.4,93,90,11.41,CL,1596287791
475,Lavrentiya,65.58,-171.0,40.26,82,0,7.94,RU,1596287792
476,Bonavista,48.65,-53.11,57.0,77,81,5.01,CA,1596287792
477,Carauari,-4.88,-66.9,78.84,57,39,3.06,BR,1596287792
478,Gibara,21.11,-76.13,80.6,88,75,6.93,CU,1596287792
479,Kivertsi,50.83,25.46,66.99,78,8,1.01,UA,1596287792
480,Husavik,66.04,-17.34,59.0,72,75,5.82,IS,1596287792
481,Pringsewu,-5.36,104.97,72.86,82,0,1.41,ID,1596287792
482,Prince Rupert,54.32,-130.32,60.8,87,90,5.82,CA,1596287743
483,Blythe,33.61,-114.6,91.99,40,1,10.29,US,1596287793
484,Karratha,-20.74,116.85,72.09,31,0,4.41,AU,1596287551
485,Louis Trichardt,-23.04,29.9,75.25,20,0,9.55,ZA,1596287793
486,Vanavara,60.34,102.28,67.05,66,100,6.98,RU,1596287793
487,Kamina,-8.74,24.99,90.63,21,33,5.66,CD,1596287793
488,Jiayuguan City,39.82,98.3,77.16,16,99,7.72,CN,1596287793
489,Kalabo,-14.97,22.68,83.23,16,0,8.37,ZM,1596287794
490,Khromtau,50.25,58.43,89.49,18,59,8.37,KZ,1596287794
491,Leeuwarden,53.2,5.81,75.99,69,90,10.29,NL,1596287794
492,São Félix do Xingu,-6.64,-51.99,83.59,30,0,4.74,BR,1596287794
493,Moundou,8.57,16.08,83.3,74,96,5.77,TD,1596287794
494,Muros,42.78,-9.06,80.01,46,40,8.05,ES,1596287795
495,Lufilufi,-13.87,-171.6,80.02,82,46,21.23,WS,1596287795
496,Port Hardy,50.7,-127.42,59.36,87,86,3.27,CA,1596287795
497,Nago,26.59,127.98,84.2,79,75,11.41,JP,1596287795
498,Obo,5.4,26.49,83.77,70,51,1.14,CF,1596287795
499,Shaoyang,27.23,111.45,82.26,73,0,3.74,CN,1596287795
500,Igarka,67.47,86.58,64.4,57,47,9.33,RU,1596287795
501,Port Blair,11.67,92.75,81.77,81,100,21.92,IN,1596287796
502,Topolobampo,25.6,-109.05,78.01,91,39,3.0,MX,1596287796
503,Kabanjahe,3.1,98.49,77.0,88,75,11.41,ID,1596287796
504,Boguchany,58.38,97.45,68.36,67,100,4.0,RU,1596287796
505,Turukhansk,65.82,87.98,66.81,60,52,2.26,RU,1596287797
506,Yumen,40.28,97.2,77.97,15,75,9.15,CN,1596287797
507,Bartica,6.4,-58.62,80.6,88,75,9.17,GY,1596287797
508,Ous,60.91,61.52,71.82,46,26,5.44,RU,1596287797
509,Kiryat Gat,31.61,34.76,91.99,49,0,1.99,IL,1596287797
510,Namatanai,-3.67,152.43,79.21,84,100,11.23,PG,1596287798
511,Andenes,69.31,16.12,57.2,82,75,9.17,NO,1596287798
512,Lahaina,20.88,-156.68,73.4,73,1,6.93,US,1596287558
513,Qaqortoq,60.72,-46.03,51.8,66,75,3.36,GL,1596287798
514,Sittwe,20.15,92.9,83.98,84,100,7.0,MM,1596287798
515,Gigmoto,13.78,124.39,79.75,80,100,5.77,PH,1596287798
516,Sechura,-5.56,-80.82,63.14,82,35,10.6,PE,1596287799
517,Merke,42.87,73.18,77.83,40,100,4.88,KZ,1596287799
518,Muhafazat Lahij,13.17,44.58,91.83,44,49,16.31,YE,1596287799
519,Puerto del Rosario,28.5,-13.86,77.0,78,20,12.75,ES,1596287799
520,Vinh,18.67,105.67,77.16,93,100,17.45,VN,1596287562
521,Jūrmala,56.97,23.77,66.2,63,20,13.87,LV,1596287799
522,Naukot,24.86,69.4,98.82,40,75,14.29,PK,1596287799
523,Muravlenko,63.79,74.52,65.41,73,100,17.11,RU,1596287799
524,Labuhan,-6.88,112.21,79.25,75,0,6.13,ID,1596287800
525,Rapid Valley,44.06,-103.15,64.4,82,1,6.93,US,1596287800
526,Swan River,52.11,-101.27,61.02,77,19,1.39,CA,1596287800
527,Gushikawa,26.35,127.87,84.2,79,75,11.41,JP,1596287800
528,Kefamenanu,-9.45,124.48,64.81,92,13,3.65,ID,1596287800
529,Cayenne,4.93,-52.33,86.0,70,20,3.36,GF,1596287800
530,Ust-Kuyga,70.02,135.6,48.38,74,91,5.35,RU,1596287801
531,La Santisima Trinidad,-14.83,-64.9,69.8,88,20,4.7,BO,1596287801
532,Tūkrah,32.53,20.58,86.92,52,0,11.07,LY,1596287801
533,Tambopata,-12.73,-69.18,71.6,88,1,1.12,PE,1596287801
534,Peleduy,59.63,112.74,65.16,56,87,8.5,RU,1596287801
535,Vysokogornyy,50.12,139.15,62.28,96,100,3.53,RU,1596287801
536,Yulara,-25.24,130.99,51.8,21,0,4.7,AU,1596287801
537,Wakefield,53.68,-1.5,72.0,69,46,4.0,GB,1596287802
538,Cascais,38.7,-9.42,81.0,57,20,23.04,PT,1596287802
539,Palekastro,35.2,26.25,85.57,54,0,22.35,GR,1596287802
540,Maputo,-25.97,32.59,75.2,57,20,13.87,MZ,1596287775
541,Bentiu,9.23,29.83,80.76,76,90,4.38,SS,1596287658
